! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:16:36 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_4ROGERS.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001767296     0.0001652    0.0016611     1.0012870   -0.0027042     0.9987605   -0.0027082    -0.0000520    0.0019186 
   0.001778269     0.0001780    0.0016734     1.0013340   -0.0027837     0.9986034   -0.0026892    -0.0000223    0.0019392 
   0.001789310     0.0001642    0.0016992     1.0011920   -0.0027946     0.9987319   -0.0026420    -0.0000232    0.0019611 
   0.001800419     0.0001973    0.0017125     1.0012510   -0.0027822     0.9988055   -0.0027127    -0.0000378    0.0019805 
   0.001811598     0.0001872    0.0017172     1.0012890   -0.0027928     0.9987309   -0.0027347    -0.0000276    0.0019830 
   0.001822846     0.0001832    0.0017306     1.0012370   -0.0028032     0.9987513   -0.0027805    -0.0000313    0.0019763 
   0.001834164     0.0001874    0.0017492     1.0012380   -0.0027786     0.9987286   -0.0027477    -0.0000301    0.0019997 
   0.001845552     0.0001874    0.0017318     1.0012510   -0.0028550     0.9987385   -0.0027888    -0.0000430    0.0020136 
   0.001857011     0.0001889    0.0017658     1.0013270   -0.0028941     0.9987676   -0.0028260    -0.0000385    0.0020135 
   0.001868541     0.0001957    0.0018007     1.0012960   -0.0028413     0.9987728   -0.0028197    -0.0000568    0.0020334 
   0.001880142     0.0001998    0.0017938     1.0012930   -0.0028918     0.9987825   -0.0028026    -0.0000506    0.0020591 
   0.001891816     0.0001876    0.0018024     1.0013250   -0.0029046     0.9986992   -0.0027951    -0.0000199    0.0020417 
   0.001903562     0.0001916    0.0018194     1.0013770   -0.0028901     0.9987308   -0.0028909    -0.0000182    0.0020609 
   0.001915381     0.0002094    0.0018289     1.0013380   -0.0029071     0.9989237   -0.0028560    -0.0000241    0.0020481 
   0.001927273     0.0001946    0.0018506     1.0013220   -0.0029906     0.9986971   -0.0029773    -0.0000420    0.0020838 
   0.001939239     0.0001992    0.0018498     1.0014180   -0.0029507     0.9988032   -0.0030094    -0.0000491    0.0020936 
   0.001951280     0.0001867    0.0018911     1.0012110   -0.0028998     0.9986843   -0.0028715    -0.0000150    0.0021167 
   0.001963395     0.0001827    0.0018781     1.0012810   -0.0030878     0.9988080   -0.0030020    -0.0000489    0.0021031 
   0.001975585     0.0002030    0.0019160     1.0012960   -0.0029743     0.9987889   -0.0028960    -0.0000219    0.0021240 
   0.001987852     0.0002033    0.0018968     1.0012920   -0.0030279     0.9986455   -0.0029257    -0.0000506    0.0021526 
   0.002000194     0.0001935    0.0019305     1.0013690   -0.0030224     0.9988357   -0.0030635    -0.0000562    0.0021586 
   0.002012613     0.0002011    0.0019491     1.0012800   -0.0030662     0.9987031   -0.0030023    -0.0000256    0.0021822 
   0.002025109     0.0002134    0.0019607     1.0013000   -0.0030838     0.9987110   -0.0030408    -0.0000390    0.0021911 
   0.002037683     0.0001992    0.0019757     1.0013060   -0.0030653     0.9987115   -0.0031237    -0.0000447    0.0021936 
   0.002050334     0.0002171    0.0019898     1.0012940   -0.0031449     0.9987414   -0.0030161    -0.0000239    0.0022334 
   0.002063065     0.0001925    0.0020192     1.0013120   -0.0031985     0.9988089   -0.0031342    -0.0000531    0.0022221 
   0.002075874     0.0002061    0.0020216     1.0013010   -0.0031778     0.9987021   -0.0031438    -0.0000676    0.0022168 
   0.002088763     0.0002160    0.0020427     1.0013350   -0.0031966     0.9987377   -0.0031429    -0.0000492    0.0022319 
   0.002101732     0.0001892    0.0020638     1.0012360   -0.0032422     0.9987486   -0.0030972    -0.0000449    0.0022811 
   0.002114781     0.0002031    0.0020829     1.0013750   -0.0031819     0.9987258   -0.0032162    -0.0000399    0.0022570 
   0.002127911     0.0001732    0.0020826     1.0012930   -0.0033436     0.9986979   -0.0031236    -0.0000601    0.0022940 
   0.002141123     0.0002206    0.0021230     1.0011460   -0.0031278     0.9986297   -0.0032325    -0.0000455    0.0023053 
   0.002154417     0.0002099    0.0021439     1.0011780   -0.0032345     0.9985496   -0.0031093    -0.0000446    0.0023424 
   0.002167794     0.0002029    0.0021523     1.0012230   -0.0033323     0.9986512   -0.0032044    -0.0000434    0.0023128 
   0.002181253     0.0002236    0.0021588     1.0013070   -0.0032801     0.9987220   -0.0032657    -0.0000368    0.0023451 
   0.002194796     0.0002100    0.0021513     1.0012790   -0.0033661     0.9985793   -0.0032419    -0.0000352    0.0023347 
   0.002208424     0.0002206    0.0021718     1.0013480   -0.0034066     0.9987741   -0.0033133    -0.0000303    0.0023673 
   0.002222136     0.0001879    0.0021917     1.0012820   -0.0033935     0.9987879   -0.0033287    -0.0000560    0.0023959 
   0.002235932     0.0002008    0.0021983     1.0013430   -0.0034100     0.9986946   -0.0034216    -0.0000489    0.0023718 
   0.002249815     0.0002054    0.0022256     1.0013560   -0.0034725     0.9987450   -0.0033574    -0.0000465    0.0023924 
   0.002263784     0.0002279    0.0022306     1.0013680   -0.0034852     0.9986853   -0.0034415    -0.0000440    0.0024199 
   0.002277839     0.0002195    0.0022751     1.0012710   -0.0034918     0.9985998   -0.0033116    -0.0000425    0.0024561 
   0.002291982     0.0002267    0.0022474     1.0013550   -0.0035503     0.9987437   -0.0033716    -0.0000425    0.0024254 
   0.002306213     0.0002100    0.0023042     1.0012830   -0.0034824     0.9987103   -0.0034953    -0.0000661    0.0024695 
   0.002320532     0.0002157    0.0022994     1.0013160   -0.0035208     0.9986848   -0.0034655    -0.0000396    0.0024733 
   0.002334940     0.0002093    0.0023153     1.0013360   -0.0035556     0.9986662   -0.0035613    -0.0000447    0.0024766 
   0.002349437     0.0002122    0.0023316     1.0013320   -0.0035988     0.9986517   -0.0034765    -0.0000356    0.0024914 
   0.002364025     0.0002223    0.0023498     1.0013360   -0.0036895     0.9987109   -0.0034895    -0.0000299    0.0025031 
   0.002378702     0.0002246    0.0023729     1.0013450   -0.0036840     0.9986216   -0.0034595    -0.0000199    0.0025321 
   0.002393472     0.0002138    0.0023985     1.0013870   -0.0036309     0.9986731   -0.0035113    -0.0000369    0.0025555 
   0.002408332     0.0002041    0.0023973     1.0013590   -0.0037799     0.9987268   -0.0036231    -0.0000422    0.0025488 
   0.002423285     0.0002070    0.0024145     1.0012710   -0.0036368     0.9985684   -0.0036374    -0.0000501    0.0026126 
   0.002438331     0.0002227    0.0024261     1.0012820   -0.0036256     0.9987419   -0.0036519    -0.0000390    0.0025766 
   0.002453471     0.0002214    0.0024283     1.0014080   -0.0036836     0.9987813   -0.0037725    -0.0000229    0.0026165 
   0.002468704     0.0002092    0.0024663     1.0013340   -0.0037980     0.9986838   -0.0037186    -0.0000346    0.0026113 
   0.002484032     0.0002042    0.0024804     1.0012700   -0.0038330     0.9987504   -0.0037714    -0.0000612    0.0026268 
   0.002499455     0.0002146    0.0025122     1.0014190   -0.0038147     0.9986482   -0.0036962    -0.0000338    0.0026530 
   0.002514974     0.0002296    0.0025282     1.0013850   -0.0038720     0.9986708   -0.0037696    -0.0000489    0.0026455 
   0.002530589     0.0002318    0.0025467     1.0014080   -0.0038585     0.9986955   -0.0038292    -0.0000209    0.0026728 
   0.002546301     0.0002251    0.0025609     1.0013720   -0.0039211     0.9987367   -0.0038112    -0.0000556    0.0026846 
   0.002562110     0.0002177    0.0025897     1.0013250   -0.0038908     0.9987015   -0.0038340    -0.0000455    0.0026968 
   0.002578018     0.0002015    0.0026074     1.0013490   -0.0039285     0.9986736   -0.0038535    -0.0000325    0.0027333 
   0.002594025     0.0002171    0.0026039     1.0014340   -0.0039750     0.9986733   -0.0038155    -0.0000369    0.0027325 
   0.002610131     0.0002316    0.0026216     1.0014010   -0.0039395     0.9986928   -0.0038964    -0.0000312    0.0027440 
   0.002626337     0.0002169    0.0026486     1.0013370   -0.0040378     0.9987268   -0.0039776    -0.0000375    0.0027672 
   0.002642643     0.0002125    0.0026673     1.0013480   -0.0039496     0.9986731   -0.0039688    -0.0000446    0.0027778 
   0.002659051     0.0002163    0.0026726     1.0013570   -0.0039296     0.9987295   -0.0040255    -0.0000461    0.0027949 
   0.002675561     0.0002308    0.0026962     1.0013060   -0.0041270     0.9987698   -0.0039378    -0.0000195    0.0028077 
   0.002692173     0.0002440    0.0027156     1.0014440   -0.0040465     0.9986986   -0.0039907    -0.0000355    0.0028236 
   0.002708889     0.0001993    0.0027511     1.0013590   -0.0041881     0.9986006   -0.0040167    -0.0000323    0.0028423 
   0.002725708     0.0002187    0.0027433     1.0015580   -0.0043007     0.9986710   -0.0041141    -0.0000521    0.0028471 
