! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:41:57 PM
! D:\MESURE_MONTURE_07092022\LIGNE_25MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001880142    -0.0000271    0.0012307     1.0009340   -0.0020027     0.9989837   -0.0016626    -0.0002600    0.0014536 
   0.001891816    -0.0000037    0.0012383     1.0008350   -0.0018988     0.9989481   -0.0017011    -0.0002286    0.0014473 
   0.001903562    -0.0000298    0.0012657     1.0009960   -0.0020069     0.9989785   -0.0017331    -0.0002279    0.0014530 
   0.001915381     0.0000172    0.0012739     1.0010580   -0.0019136     0.9990320   -0.0016551    -0.0002362    0.0014663 
   0.001927273    -0.0000105    0.0012823     1.0009990   -0.0020743     0.9989734   -0.0017205    -0.0002332    0.0014703 
   0.001939239    -0.0000019    0.0012945     1.0008600   -0.0018591     0.9989517   -0.0017413    -0.0002279    0.0015085 
   0.001951280    -0.0000108    0.0013002     1.0009820   -0.0019519     0.9989160   -0.0017277    -0.0002117    0.0015169 
   0.001963395    -0.0000117    0.0013095     1.0010840   -0.0020881     0.9989564   -0.0017511    -0.0002174    0.0014983 
   0.001975585    -0.0000021    0.0013349     1.0010150   -0.0020032     0.9989667   -0.0017784    -0.0002261    0.0015066 
   0.001987852     0.0000092    0.0013439     1.0009950   -0.0020148     0.9988934   -0.0016886    -0.0002344    0.0015469 
   0.002000194    -0.0000333    0.0013373     1.0010490   -0.0020978     0.9990112   -0.0019014    -0.0002557    0.0015321 
   0.002012613     0.0000147    0.0013653     1.0010060   -0.0020638     0.9989727   -0.0018237    -0.0002084    0.0015553 
   0.002025109     0.0000055    0.0013964     1.0009490   -0.0020609     0.9989173   -0.0018559    -0.0002443    0.0015667 
   0.002037683    -0.0000007    0.0013802     1.0009880   -0.0019993     0.9989881   -0.0018436    -0.0002508    0.0015720 
   0.002050334    -0.0000055    0.0014014     1.0009740   -0.0021459     0.9989967   -0.0018554    -0.0002182    0.0015942 
   0.002063065    -0.0000133    0.0014329     1.0010390   -0.0022188     0.9989756   -0.0018780    -0.0002484    0.0015943 
   0.002075874    -0.0000014    0.0014222     1.0009430   -0.0021063     0.9989656   -0.0018867    -0.0002508    0.0016037 
   0.002088763    -0.0000045    0.0014387     1.0009900   -0.0021805     0.9989446   -0.0019640    -0.0002610    0.0015917 
   0.002101732    -0.0000109    0.0014561     1.0008820   -0.0020601     0.9989806   -0.0019615    -0.0002340    0.0016154 
   0.002114781    -0.0000196    0.0014872     1.0009380   -0.0021088     0.9989505   -0.0020167    -0.0002531    0.0016239 
